기업명,제목,주소,링크
SK증권㈜,2022년 상반기 경력사원 공개채용,경기 광명시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/skshrmt
㈔한국음악저작권협회,2022년도 (사)한국음악저작권협회 신입사원 공개채용 및 보훈 제한경쟁 채용,경기 하남시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/komca2008
㈜디에이피,㈜디에이피 2022년 상반기 제조직 채용,경기 하남시 외,https://www.jobkorea.co.kr//Recruit/Co_Read/C/dapcorp
데브시스터즈㈜,[쿠키런: 킹덤] 데이터 소프트웨어 엔지니어,경기 하남시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37493549?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=41
㈜위메프,[위메프서비스] NoSQL 데이터베이스 엔지니어,경기 하남시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37478285?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=42
데브시스터즈㈜,[데브시스터즈] 데이터 포털 웹 개발 엔지니어(경력),경기 광명시 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37418108?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=43
㈜네오플,[네오플] 데이터분석팀 DBA/소프트웨어 엔지니어 인재 모집,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37312848?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=44
㈜엔씨소프트,[엔씨소프트] ML/데이터 기반 운영 서비스 개발을 위한 백엔드 엔지니어 모집,서울 용산구,https://www.jobkorea.co.kr//Recruit/GI_Read/37210874?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=45
㈜ 호디,"어플리케이션, 데이터베이스 엔지니어 모집",경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37052663?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=46
네이버클라우드㈜,데이터센터 엔지니어(전기),부산 해운대구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37037804?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=47
네이버클라우드㈜,데이터센터 엔지니어(물리보안/서버실 구축),서울 강남구,https://www.jobkorea.co.kr//Recruit/GI_Read/37045548?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=48
㈜혁산정보시스템,"데이터 처리(오라클,MSSQL)/PC수리(원격) 엔지니어 모집",서울 강동구,https://www.jobkorea.co.kr//Recruit/GI_Read/37472255?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=49
컴퓨터 수리,"데이터복구[외장하드,휴대폰] 엔지니어 긴급 모집",서울 양천구,https://www.jobkorea.co.kr//Recruit/GI_Read/37537337?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=50
컴퓨터수리,[월 450이상]휴대폰 및 PC 데이터 복구 엔지니어 모집,서울 금천구 외,https://www.jobkorea.co.kr//Recruit/GI_Read/37537170?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=51
컴퓨터수리,[초보환영]데이터복구 엔지니어 신입팀원 긴급 충원,경기 성남시,https://www.jobkorea.co.kr//Recruit/GI_Read/37536924?Oem_Code=C1&logpath=1&stext=데이터엔지니어&listno=52
